claim_id,artwork_id,claim_index,claim_text,claim_type,evidence_source,accuracy,hedging
C001,caravaggio_calling,1,"This painting depicts a dimly lit interior scene in which a group of five figures are seated around a table, apparently counting coins.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C002,caravaggio_calling,2,"From the right side of the composition, two standing figures approach — one of whom extends his arm and points directly toward the group at the table.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C003,caravaggio_calling,3,"A sharp diagonal beam of light enters from the upper right, cutting across the dark background and illuminating the seated figures selectively, leaving much of the scene in deep shadow.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C004,caravaggio_calling,4,"The figures at the table respond with varied gestures: one young man in an elaborate feathered hat and richly colored doublet turns to look toward the pointing figure, while an older bearded man leans forward, eyes cast downward toward the coins.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C005,caravaggio_calling,5,"A younger figure at the far left appears absorbed in the counting, seemingly unaware of the interruption.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C006,caravaggio_calling,6,Two standing figures on the right side of the canvas are partially obscured by shadow; one wears a red garment visible at the shoulder.,ATTRIBUTIVE,SCHOLARLY,GROUNDED,UNHEDGED
C007,caravaggio_calling,7,"The painting is executed in oil on canvas and is characterized by extreme tonal contrast — a technique known as tenebrism — in which forms emerge dramatically from near-total darkness through concentrated, raking light.",INTERPRETIVE,SCHOLARLY,PLAUSIBLE,UNHEDGED
C008,caravaggio_calling,8,The figures are rendered with a sense of physical weight and psychological individuality unusual for religious painting of the period.,VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C009,caravaggio_calling,9,"Their clothing is contemporary sixteenth-century dress rather than biblical costume, embedding the sacred narrative within an immediately recognizable everyday setting.",HISTORICAL,METADATA,GROUNDED,UNHEDGED
C010,caravaggio_calling,10,"This is The Calling of Saint Matthew, painted by Michelangelo Merisi da Caravaggio around 1599-1600, and housed in the Contarelli Chapel of San Luigi dei Francesi in Rome.",HISTORICAL,SCHOLARLY,GROUNDED,UNHEDGED
C011,caravaggio_calling,11,The work depicts the moment described in the Gospel of Matthew in which Christ calls the tax collector Matthew to become his disciple.,INTERPRETIVE,SCHOLARLY,GROUNDED,HEDGED
C012,caravaggio_calling,12,The identity of which seated figure represents Matthew remains a subject of scholarly debate.,INTERPRETIVE,SCHOLARLY,PLAUSIBLE,UNHEDGED
C013,caravaggio_calling,13,"The painting is widely regarded as a landmark of European Baroque art and a defining example of Caravaggio's revolutionary approach to light, realism, and religious subject matter.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C014,rublev_trinity,1,"The image depicts three winged angelic figures seated in a row against a gold background, each rendered frontally or in slight three-quarter view.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C015,rublev_trinity,2,"All three figures have haloes, curling reddish-brown hair, and elongated, serene facial features characteristic of the Byzantine and early Russian icon tradition.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C016,rublev_trinity,3,"Their wings are visible behind them, rendered in warm golden tones that blend into the background.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C017,rublev_trinity,4,The figures are differentiated primarily by the color of their garments: the leftmost angel wears a golden-brown outer robe over a blue undergarment; the central figure wears a deep crimson upper garment with a blue mantle draped across the body; the rightmost angel is dressed in blue with a greenish outer layer.,VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C018,rublev_trinity,5,Each figure holds a thin staff.,VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C019,rublev_trinity,6,"The surface of the panel shows significant aging, with scattered dark spots and areas of paint loss across the gold ground, indicating the work's antiquity and material fragility.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C020,rublev_trinity,7,"The gold background, flat spatial construction, and absence of naturalistic depth or shadow are consistent with the conventions of Eastern Orthodox icon painting, in which visual realism is subordinated to theological and symbolic expression.",ATTRIBUTIVE,SCHOLARLY,GROUNDED,UNHEDGED
C021,rublev_trinity,8,"This is the Trinity icon, painted by the Russian monk and icon painter Andrei Rublev around 1411, and now held in the Tretyakov Gallery in Moscow.",HISTORICAL,METADATA,GROUNDED,UNHEDGED
C022,rublev_trinity,9,"The work depicts the three angels who visited Abraham at Mamre, interpreted in Orthodox theology as a manifestation of the Holy Trinity.",HISTORICAL,SCHOLARLY,GROUNDED,UNHEDGED
C023,rublev_trinity,10,It is painted in tempera on a wooden panel.,INTERPRETIVE,SCHOLARLY,PLAUSIBLE,UNHEDGED
C024,rublev_trinity,11,Rublev's Trinity is considered the supreme achievement of Russian icon painting and one of the most theologically significant works in the Eastern Christian tradition.,INTERPRETIVE,SCHOLARLY,GROUNDED,UNHEDGED
C025,rublev_trinity,12,"Unlike Western representations of the Trinity, Rublev's composition emphasizes harmony, circularity, and mutual regard among the three figures, embodying the Orthodox theological concept of divine unity expressed through relational love.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C026,raphael_athens,1,The image depicts a large semicircular fresco set within an arched architectural frame.,VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C027,raphael_athens,2,"The scene is populated by approximately fifty figures distributed across a grand interior space constructed of barrel-vaulted arches, coffered ceilings, and receding archways that open onto a blue sky in the far distance.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C028,raphael_athens,3,"The architectural setting is rendered in strict linear perspective, with the vanishing point centered between the two principal figures at the middle of the composition.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C029,raphael_athens,4,The floor is paved in a geometric pattern of colored marble.,VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C030,raphael_athens,5,"Flanking the inner arch are two large classical statues in niches: on the left, a figure holding a lyre, identifiable as Apollo; on the right, a helmeted figure with a shield, identifiable as Athena.",INTERPRETIVE,SCHOLARLY,GROUNDED,UNHEDGED
C031,raphael_athens,6,"At the center of the composition, two older male figures descend a broad staircase side by side.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C032,raphael_athens,7,"The figure on the left points upward with one finger and carries a book, while the figure on the right extends his hand horizontally, palm downward, also holding a book.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C033,raphael_athens,8,"These two figures are conventionally identified as Plato and Aristotle respectively, their gestures understood to represent their opposing philosophical orientations.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C034,raphael_athens,9,"Surrounding them are numerous other figures engaged in reading, writing, measuring, debating, and demonstrating.",HISTORICAL,METADATA,GROUNDED,UNHEDGED
C035,raphael_athens,10,"In the lower center, a solitary figure in dark clothing leans on a block of stone, writing.",HISTORICAL,SCHOLARLY,GROUNDED,UNHEDGED
C036,raphael_athens,11,"On the lower right, a group clusters around a figure demonstrating with a compass on a slate.",INTERPRETIVE,SCHOLARLY,PLAUSIBLE,HEDGED
C037,raphael_athens,12,"This is The School of Athens, painted by Raphael between 1509 and 1511 as a fresco on the wall of the Stanza della Segnatura in the Apostolic Palace, Vatican.",ATTRIBUTIVE,SCHOLARLY,PLAUSIBLE,UNHEDGED
C038,raphael_athens,13,It was commissioned by Pope Julius II.,INTERPRETIVE,SCHOLARLY,GROUNDED,UNHEDGED
C039,raphael_athens,14,The work represents the convergence of ancient Greek philosophical traditions and is widely interpreted as an allegory of Philosophy.,HISTORICAL,SCHOLARLY,GROUNDED,UNHEDGED
C040,raphael_athens,15,"The figures depicted include, by scholarly convention, Socrates, Pythagoras, Euclid, Ptolemy, Heraclitus, and Diogenes, though identifications remain debated.",INTERPRETIVE,SCHOLARLY,GROUNDED,UNHEDGED
C041,raphael_athens,16,The fresco exemplifies the High Renaissance synthesis of classical learning and humanist values.,VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C042,bhmpi_anonymous,1,The image shows the principal facade of a large Renaissance palazzo photographed from ground level across an open cobblestone piazza.,VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C043,bhmpi_anonymous,2,"The building presents a strictly symmetrical three-storey elevation in travertine and brick, with each storey clearly differentiated by its fenestration and decorative treatment.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C044,bhmpi_anonymous,3,"The ground floor is rusticated, with heavily framed rectangular windows fitted with iron grilles set at regular intervals.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C045,bhmpi_anonymous,4,"The central entrance is marked by a large doorway with an elaborate stone surround, above which a balcony projects at the second-floor level, flanked by two flags including the French tricolor.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C046,bhmpi_anonymous,5,"Above the balcony, a carved heraldic device is visible.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C047,bhmpi_anonymous,6,"The second storey features arched windows with alternating triangular and segmental pediments, each framed by pilasters.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C048,bhmpi_anonymous,7,"The uppermost storey has similarly spaced windows with flat entablatures, capped by a projecting cornice of considerable depth.",VISUAL,IMAGE_VISIBLE,GROUNDED,UNHEDGED
C049,bhmpi_anonymous,8,"Several smaller figures are visible crossing the piazza in the foreground, providing scale.",VISUAL,IMAGE_VISIBLE,PLAUSIBLE,HEDGED
C050,bhmpi_anonymous,9,"The photograph appears to have been taken in daylight under clear conditions, with strong directional light casting sharp shadows across the rusticated surface of the lower storey.",INTERPRETIVE,UNTRACED,PLAUSIBLE,HEDGED
C051,bhmpi_anonymous,10,"The image is consistent with documentary or archival photography of Roman architecture, likely produced for art-historical or heritage documentation purposes.",HISTORICAL,SCHOLARLY,GROUNDED,UNHEDGED
C052,bhmpi_anonymous,11,"This is the Palazzo Farnese in Rome, one of the most important examples of Renaissance palace architecture in Italy.",HISTORICAL,SCHOLARLY,GROUNDED,UNHEDGED
C053,bhmpi_anonymous,12,"Construction began around 1517 under Antonio da Sangallo the Younger for Cardinal Alessandro Farnese, later Pope Paul III.",HISTORICAL,SCHOLARLY,GROUNDED,UNHEDGED
C054,bhmpi_anonymous,13,"Following Sangallo's death in 1546, Michelangelo assumed responsibility for the upper storey and the cornice.",HISTORICAL,METADATA,GROUNDED,UNHEDGED
C055,bhmpi_anonymous,14,The palace was completed under Giacomo della Porta.,HISTORICAL,SCHOLARLY,GROUNDED,UNHEDGED
C056,bhmpi_anonymous,15,Since 1874 it has served as the seat of the French Embassy in Italy.,INTERPRETIVE,SCHOLARLY,GROUNDED,UNHEDGED
C057,bhmpi_anonymous,16,The building is notable for the clarity of its facade composition and its influence on subsequent palace architecture throughout Europe.,,,,
